Date,Open,High,Low,Close
2014-10-08,10025.08,10061.25,9986.6,10021.16
2014-10-09,10067.89,10186.85,10067.78,10172.99
2014-10-10,10138.17,10138.17,10028.72,10039.93
2014-10-13,10035.87,10093.61,9972.24,10076.44
2014-10-14,10118.24,10130.82,10022.95,10057.48
2014-10-16,10033.59,10088.85,9853.35,9877.16
2014-10-17,9873.23,9963.68,9840.84,9919.11
2014-10-20,10030.66,10077.85,10015.28,10045.1
2014-10-21,10083.55,10124.43,10054.57,10113.76
2014-10-22,10176.83,10216.14,10176.59,10206.95
2014-10-23,10253.35,10265.68,10243.59,10254.7
2014-10-27,10286.69,10301.51,10205.71,10214.15
2014-10-28,10225.25,10259.4,10212.94,10251.4
2014-10-29,10288.3,10332.22,10282.82,10324.42
2014-10-30,10332.47,10423.85,10325.16,10417
2014-10-31,10448.72,10602.46,10448.72,10594.89
2014-11-03,10628.58,10639.14,10585.96,10622.42
2014-11-05,10643.5,10690.14,10625.09,10636.17
2014-11-07,10641.63,10671.13,10583.35,10650.66
2014-11-10,10671.07,10711.28,10621.55,10656.54
2014-11-11,10675.78,10716.85,10645.6,10697.67
2014-11-12,10717.64,10779.7,10717.12,10736.99
2014-11-13,10758.38,10776.13,10659.78,10702.54
2014-11-14,10708.56,10766.21,10700.98,10751.96
2014-11-17,10749.74,10821.67,10727.13,10812.8
2014-11-18,10824.81,10871.64,10810.83,10831.07
2014-11-19,10845.52,10874.99,10739.55,10771.32
2014-11-20,10797.03,10801.52,10724.41,10782.89
2014-11-21,10803.55,10879.08,10792.6,10849.39
2014-11-24,10882.07,10919.22,10867.88,10894.8
2014-11-25,10902.04,10908.58,10737.69,10787.55
2014-11-26,10780.23,10845.32,10767.11,10813.44
2014-11-27,10817.55,10858.56,10807.08,10842.27
2014-11-28,10865.28,10997.43,10864.05,10956.16
2014-12-01,10978.89,11005.87,10921.76,10927.82
2014-12-02,10916.32,10952.18,10875.64,10927.48
2014-12-03,10941.95,11004.76,10938.74,10985.7
2014-12-04,11037.02,11089.32,10980.78,11024.46
2014-12-05,11038.69,11068.6,10973.15,10989.6
2014-12-08,10987.1,11012.8,10860.55,10868.29
2014-12-09,10871.04,10882.82,10714.87,10726.86
2014-12-10,10708.36,10794.49,10707.7,10773.21
2014-12-11,10768.99,10771.31,10667.22,10691.51
2014-12-12,10706.09,10739.68,10581.59,10590.69
2014-12-15,10529.04,10599.79,10513.24,10565.02
2014-12-16,10522.97,10531.39,10320.68,10338.63
2014-12-17,10322.58,10357.67,10154.4,10287.09
2014-12-18,10400.82,10508.31,10394.71,10494.31
2014-12-19,10549.37,10624.98,10545.57,10560.47
2014-12-22,10592,10681.62,10574.72,10674.44
2014-12-23,10684.2,10732.21,10594.46,10610.96
2014-12-24,10622.29,10637.84,10518.27,10538.25
2014-12-26,10546.46,10602.47,10505.75,10562.71
2014-12-29,10579.71,10669.27,10579.66,10636.32
2014-12-30,10662.61,10671.09,10622.32,10662.5
2014-12-31,10654.19,10730.87,10651.47,10721.62
2015-01-01,10720.05,10757.8,10697.79,10744.62
2015-01-02,10752.12,10895.53,10752.06,10866.41
2015-01-05,10894.6,10939.57,10836.45,10854.03
2015-01-06,10812.48,10812.98,10521.55,10538.67
2015-01-07,10539.01,10580.36,10457.44,10522.96
2015-01-08,10609.89,10696.28,10609.89,10688.99
2015-01-09,10737.32,10779.18,10648.66,10731.21
2015-01-12,10756.82,10798.07,10699.89,10789.73
2015-01-13,10805.59,10839.77,10728.86,10767.46
2015-01-14,10774.03,10817.67,10705.43,10748.22
2015-01-15,10902.12,11017.55,10879.3,10975.37
2015-01-16,10970.48,11033.55,10939.52,11013.09
2015-01-19,11053.71,11100.95,11053.36,11067.17
2015-01-20,11093.03,11214.33,11092.77,11201.75
2015-01-21,11224.29,11263.72,11188.01,11225.88
2015-01-22,11250.56,11295.18,11226.22,11270.57
2015-01-23,11336.4,11388.82,11296.22,11343.2
2015-01-27,11394.87,11453.96,11347.21,11439.15
2015-01-28,11442.99,11537.24,11408.67,11455.35
2015-01-29,11446.24,11490.39,11402.21,11474.52
2015-01-30,11529.97,11544.4,11302.01,11346.24
2015-02-02,11348.93,11393.54,11306.88,11353.84
2015-02-03,11393.78,11408.7,11278.73,11299.26
2015-02-04,11343.55,11345.88,11231.8,11252.23
2015-02-05,11264.62,11363.53,11170.04,11203.24
2015-02-06,11217.7,11229.12,11108.03,11128.09
2015-02-09,11083.38,11083.38,10947.55,10962.32
2015-02-10,10936.22,11119.52,10899.34,11019.09
2015-02-11,11053.28,11146.8,11051.78,11132.06
2015-02-12,11177.33,11260.9,11130.78,11250.45
2015-02-13,11287.75,11371.91,11278.53,11354.29
2015-02-16,11387.88,11436.61,11333.11,11352.63
2015-02-18,11361.6,11454.09,11360.74,11431.21
2015-02-19,11470.78,11487.25,11340.38,11456.73
2015-02-20,11465.2,11471.7,11379.78,11404.63
2015-02-23,11439.54,11455.36,11280.59,11304.08
2015-02-24,11320.12,11345.37,11264.08,11306.81
2015-02-25,11346.7,11399.44,11287,11302.41
2015-02-26,11316.33,11322.23,11183.3,11206.23
2015-02-27,11245.33,11416.59,11245.23,11405.29
2015-02-28,11469.49,11506.04,11276.18,11454.35
2015-03-02,11511.99,11557.5,11451.92,11547.97
2015-03-03,11567.55,11634.45,11535.23,11622.12
2015-03-04,11729.32,11764.8,11502.88,11526.28
2015-03-05,11547.93,11589.75,11465.87,11567.69
2015-03-09,11532.58,11533.54,11346.12,11361.16
2015-03-10,11390.38,11414.63,11276.92,11319.91
2015-03-11,11333.62,11359.21,11275.98,11294.42
2015-03-12,11347.03,11423.31,11346.24,11410.47
2015-03-13,11478.89,11493.57,11226.87,11246.4
2015-03-16,11263.86,11275.67,11196.24,11219.18
2015-03-17,11272.57,11356.98,11231.18,11333.53
2015-03-18,11350.4,11371.49,11290.77,11314.16
2015-03-19,11377.52,11445.65,11229.18,11248.12
2015-03-20,11252.3,11257.2,11124.22,11140.31
2015-03-23,11162.66,11185.85,11076.72,11086.38
2015-03-24,11094.29,11155.68,11061.12,11072.07
2015-03-25,11091.29,11106.07,11026.57,11046.55
2015-03-26,11000.39,11011.41,10832.45,10853.5
2015-03-27,10907.19,10922.42,10733.92,10843.47
2015-03-30,10903.44,11053.57,10902.89,11039.69
2015-03-31,11081.58,11122.33,11007.8,11048.75
2015-04-01,11048.98,11197.32,11034.38,11183.83
2015-04-06,11216.63,11295.05,11185.29,11288.05
2015-04-07,11318.35,11337.48,11228.06,11322.51
2015-04-08,11355.68,11420.47,11355.63,11397.05
2015-04-09,11452.86,11464.36,11361.73,11457.89
2015-04-10,11468.23,11489.22,11436.31,11475.18
2015-04-13,11503.13,11548.07,11482.89,11537.93
2015-04-15,11558.74,11567.6,11418.4,11449.28
2015-04-16,11476.03,11476.03,11304.98,11374.56
2015-04-17,11384.6,11387.39,11225.52,11239.35
2015-04-20,11267.64,11274.09,10985.41,11026.3
2015-04-21,11017.43,11056.38,10920.75,10949.97
2015-04-22,10980.54,11013.12,10832.58,10995.6
2015-04-23,11030.04,11094.07,10932.18,10966.12
2015-04-24,10982.31,10989.83,10777.88,10812.99
2015-04-27,10851.87,10853.81,10634.15,10652.28
2015-04-28,10657.79,10786.65,10613.36,10762.67
2015-04-29,10779.07,10810.01,10708.82,10743.47
2015-04-30,10747.99,10748.31,10642.47,10696.83
2015-05-04,10763.48,10904.57,10755.44,10889.44
2015-05-05,10913.81,10937.68,10850.9,10899.01
2015-05-06,10906.56,10910.05,10570.95,10585.05
2015-05-07,10587.13,10603.72,10411.97,10484.44
2015-05-08,10561.3,10699.71,10561.24,10663.02
2015-05-11,10712.77,10840.98,10712.1,10831.92
2015-05-12,10836.24,10836.24,10585.91,10598.65
2015-05-13,10648.65,10764.13,10579.25,10743.31
2015-05-14,10753.34,10780.49,10645.01,10770.05
